Date,adjusted,unadjusted,monthly
2005-12-04,1,71,9.193548387096774
2005-12-05,2,62,9.258064516129032
2005-12-06,2,74,9.32258064516129
2005-12-07,2,60,9.387096774193548
2005-12-08,2,88,9.451612903225806
2005-12-09,2,54,9.516129032258064
2005-12-10,1,44,9.580645161290322
2005-12-11,1,45,9.64516129032258
2005-12-12,2,62,9.709677419354838
2005-12-13,2,49,9.774193548387096
2005-12-14,2,53,9.838709677419354
2005-12-15,2,81,9.903225806451612
2005-12-16,2,58,9.967741935483872
2005-12-17,1,38,10.032258064516128
2005-12-18,2,45,10.096774193548388
2005-12-19,2,45,10.161290322580644
2005-12-20,2,33,10.225806451612904
2005-12-21,2,61,10.290322580645162
2005-12-22,2,52,10.35483870967742
2005-12-23,3,88,10.419354838709678
2005-12-24,2,39,10.483870967741936
2005-12-25,1,34,10.548387096774194
2005-12-26,2,76,10.612903225806452
2005-12-27,2,60,10.67741935483871
2005-12-28,2,40,10.741935483870968
2005-12-29,2,89,10.806451612903226
2005-12-30,2,78,10.870967741935484
2005-12-31,2,63,10.935483870967742
2006-01-01,2,37,11.0
2006-01-02,3,68,11.03225806451613
2006-01-03,3,46,11.064516129032258
2006-01-04,3,58,11.096774193548388
2006-01-05,2,48,11.129032258064516
2006-01-06,3,66,11.161290322580646
2006-01-07,2,46,11.193548387096774
2006-01-08,2,44,11.225806451612904
2006-01-09,2,62,11.258064516129032
2006-01-10,3,75,11.290322580645162
2006-01-11,2,58,11.32258064516129
2006-01-12,3,61,11.35483870967742
2006-01-13,2,66,11.387096774193548
2006-01-14,2,42,11.419354838709678
2006-01-15,2,52,11.451612903225806
2006-01-16,4,86,11.483870967741936
2006-01-17,3,70,11.516129032258064
2006-01-18,4,80,11.548387096774194
2006-01-19,2,67,11.580645161290322
2006-01-20,3,73,11.612903225806452
2006-01-21,3,50,11.64516129032258
2006-01-22,2,50,11.67741935483871
2006-01-23,3,78,11.709677419354838
2006-01-24,3,75,11.741935483870968
2006-01-25,2,71,11.774193548387096
2006-01-26,3,61,11.806451612903226
2006-01-27,3,64,11.838709677419354
2006-01-28,2,38,11.870967741935484
2006-01-29,1,31,11.903225806451612
2006-01-30,3,75,11.935483870967742
2006-01-31,2,63,11.967741935483872
2006-02-01,3,77,12.0
2006-02-02,3,62,11.928571428571429
2006-02-03,3,74,11.857142857142858
2006-02-04,2,41,11.785714285714286
2006-02-05,2,47,11.714285714285714
2006-02-06,3,66,11.642857142857142
2006-02-07,3,63,11.571428571428571
2006-02-08,3,70,11.5
2006-02-09,4,65,11.428571428571429
2006-02-10,2,57,11.357142857142858
2006-02-11,1,39,11.285714285714286
2006-02-12,1,46,11.214285714285714
2006-02-13,2,74,11.142857142857142
2006-02-14,3,67,11.071428571428571
2006-02-15,3,65,11.0
2006-02-16,3,69,10.928571428571429
2006-02-17,3,67,10.857142857142858
2006-02-18,2,54,10.785714285714286
2006-02-19,2,48,10.714285714285715
2006-02-20,3,62,10.642857142857142
2006-02-21,2,64,10.571428571428571
2006-02-22,3,61,10.5
2006-02-23,3,62,10.428571428571429
2006-02-24,3,61,10.357142857142858
2006-02-25,2,34,10.285714285714286
2006-02-26,3,54,10.214285714285715
2006-02-27,3,61,10.142857142857142
2006-02-28,2,60,10.071428571428571
2006-03-01,3,66,10.0
2006-03-02,3,69,10.0
